roi_number,blob_number,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,ConvexArea,EquivDiameter,Solidity,Extent,Perimeter,ConvexPerimeter,FeretDiameter,BoundingBox_xwidth,BoundingBox_ywidth,shapehist_mean_normEqD,shapehist_mode_normEqD,shapehist_median_normEqD,shapehist_skewness_normEqD,shapehist_kurtosis_normEqD,Biovolume
313,3,370,40.86721187,19.01484671,0.8851616222,79.70865339,769,21.70480665,0.4811443433,0.3648915187,134.442,106.5243479,143.5,26,39,1.623090122,0.04607274399,1.609251764,0.1375998813,2.277343943,30108.2832
353,1,1270,74.96276642,25.16022049,0.941991677,-0.1224796795,1821,40.21211536,0.6974190005,0.503968254,256.161,204.7507838,100.5,90,28,0.8525512326,0.02486812721,0.7612247069,0.472127552,2.310603407,15414.4502
353,2,166,33.34160086,11.28012492,0.9410311838,7.603001373,351,14.53814859,0.4729344729,0.3161904762,99.723,82.38778306,138.5,35,15,0.8899286465,0.06878454941,0.8051025093,0.5000724242,2.495576894,639.0541382
360,1,2928,124.264378,33.5865377,0.9627809452,-14.79302369,4597,61.05772176,0.6369371329,0.3931256713,416.639,300.5258683,134.5,133,56,0.8172531434,0.01637794485,0.733358944,0.4941022134,2.388322168,49587.35938
360,2,1390,61.30841229,32.44791476,0.84846148,-13.03479854,1669,42.06902622,0.8328340324,0.5483234714,181.076,171.1118404,213.5,65,39,0.6951502197,0.0237704575,0.6909806648,0.0997530533,2.206430268,21924.54492
392,1,2268,176.2791179,71.97818801,0.9128391136,5.199434978,9675,53.73739189,0.2344186047,0.1569115816,801.483,475.3097972,223.5,219,66,0.4859474657,0.04161102537,0.428411727,0.5692607859,2.396331186,524.9349976
392,2,212,81.19725286,6.559335126,0.9967317351,-4.619910188,515,16.42944867,0.4116504854,0.1992481203,158.753,158.5206791,79.5,76,14,4.379048766,0.06086631513,3.912998783,0.6861488376,3.014166807,19158.52148
460,1,1295,64.80664329,36.05304828,0.8309700406,71.82603391,2063,40.60597506,0.6277266117,0.4286660046,241.583,173.6319046,69.5,53,57,0.6839163822,0.02462691755,0.6631000486,0.229935385,2.210397033,16395.13672
460,2,255,20.65505321,19.58565361,0.3175970737,-26.57533812,365,18.01877032,0.698630137,0.4619565217,79.974,71.69493754,131.5,24,23,0.7785049609,0.05549768281,0.7848557571,0.2146549808,2.309137002,2463.00864
460,3,253,29.44816931,19.69203863,0.7435308592,-6.810894172,467,17.94796938,0.5417558887,0.3285714286,96.315,87.90332238,98.5,35,22,0.6526802175,0.2785830472,0.6981271152,-0.2115475925,2.06044705,1798.168579
469,1,2483,135.2382021,50.87086505,0.9265557347,25.47414889,5761,56.22680668,0.4310015622,0.2736992945,488.227,313.1745548,164.5,112,81,0.8273817585,0.01778511104,0.7843617083,0.4394875254,2.53970142,29843.50195
469,2,202,24.69521863,12.35264213,0.8659077095,-81.35302471,311,16.03728119,0.6495176849,0.4097363083,79.849,72.41432582,103.5,17,29,0.7212543562,0.06235470888,0.7054629998,0.2122833092,2.469447832,1238.651245
477,1,425,39.82691928,19.79599877,0.8677214905,49.9214306,713,23.26213246,0.5960729313,0.3808243728,120.464,101.7380298,153.5,36,31,0.5654378511,0.04298832026,0.6199863717,-0.4519241727,1.97586384,3751.838379
